label,qty
IMPALA,225
GEMSBOK,211
KUDU,205
WILDEBEEST,202
WARTHOG,183
SPRINGBOK,175
ZEBRA,135
BLESBOK,124
HARTEBEEST,94
ELAND,69
WATERBUCK,68
NYALA,51
BUFFALO,48
BUSHBUCK,40
STEENBOK,37
BABOON,36
REEDBUCK,34
DUIKER,27
ANTELOPE,24
JACKAL,23
LION,21
MONKEY,13
KLIPSPRINGER,13
GIRAFFE,12
CROCODILE,11
OSTRICH,11
CARACAL,8
ELEPHANT,8
PORCUPINE,8
HARE,7
LECHWE,7
GENET,7
LEOPARD,6
CIVET,5
HOG,5
RHEBOK,4
DIKDIK,4
TSESSEBE,3
GRYSBOK,3
HIPPOPOTAMUS,3
ORIBI,3
HYAENA,3
BUSH-PIG,3
BADGER,3
HYRAX,3
GAZELLE,2
SHELDUCK,2
BONTEBOK,2
DEER,2
GOOSE,2
DUCK,2
SHEEP,1
PUKU,1
GUINEAFOWL,1
QUAGGA,1
SERVAL,1
ORYX,1
GERENUK,1
MEERKAT,1
FRANCOLIN,1
MONGOOSE,1
GOAT,1
BOAR,1
WILDCAT,1
KOB,1
MONITOR,1
RHINOCEROS,1
ROLLER,1
Grand Total,2214
